Age,Attrition,BusinessTravel,Department,Education,EducationField,Gender,JobLevel,JobRole,JobSatisfaction,MaritalStatus,OverTime,PerformanceRating,WorkLifeBalance,,
42,No,Travel_Rarely,Sales,Master,Marketing,Male,Junior Level,Sales Executive,Medium,Married,No,Excellent,Better,,
44,No,Travel_Rarely,Research & Development,Master,Medical,Female,Mid Level,Healthcare Representative,Very High,Married,No,Excellent,Better,,
46,No,Travel_Rarely,Sales,Master,Marketing,Female,Executive Level,Manager,Low,Single,No,Excellent,Good,,
33,No,Travel_Rarely,Research & Development,Bachelor,Medical,Male,Entry Level,Laboratory Technician,Very High,Single,No,Excellent,Better,,
44,No,Travel_Rarely,Research & Development,Master,Other,Male,Junior Level,Healthcare Representative,Very High,Married,Yes,Excellent,Best,,
30,No,Travel_Rarely,Research & Development,College,Medical,Male,Entry Level,Laboratory Technician,High,Single,No,Excellent,Better,,
39,Yes,Travel_Rarely,Sales,Bachelor,Technical Degree,Male,Junior Level,Sales Representative,Very High,Married,No,Excellent,Best,,
24,Yes,Travel_Rarely,Research & Development,Bachelor,Medical,Male,Entry Level,Research Scientist,Very High,Married,Yes,Excellent,Good,,
43,No,Travel_Rarely,Research & Development,College,Medical,Female,Entry Level,Research Scientist,High,Divorced,No,Excellent,Good,,
50,Yes,Travel_Rarely,Sales,College,Marketing,Male,Entry Level,Sales Representative,High,Married,Yes,Excellent,Better,,
35,No,Travel_Rarely,Sales,Bachelor,Marketing,Female,Entry Level,Sales Representative,Very High,Married,No,Excellent,Better,,
36,No,Travel_Rarely,Research & Development,Master,Life Sciences,Female,Entry Level,Research Scientist,Low,Married,Yes,Excellent,Best,,
33,No,Travel_Frequently,Sales,Bachelor,Life Sciences,Female,Junior Level,Sales Executive,Low,Married,No,Excellent,Better,,
35,No,Travel_Rarely,Research & Development,College,Other,Male,Entry Level,Laboratory Technician,Very High,Divorced,No,Excellent,Better,,
27,No,Travel_Rarely,Research & Development,Master,Life Sciences,Female,Entry Level,Laboratory Technician,Low,Divorced,No,Excellent,Better,,
26,Yes,Travel_Rarely,Research & Development,Bachelor,Life Sciences,Male,Entry Level,Laboratory Technician,High,Single,No,Excellent,Good,,
27,No,Travel_Frequently,Sales,Bachelor,Life Sciences,Male,Mid Level,Sales Executive,High,Single,No,Excellent,Better,,
30,No,Travel_Frequently,Research & Development,College,Medical,Female,Junior Level,Laboratory Technician,Very High,Single,No,Outstanding,Better,,
41,Yes,Travel_Rarely,Research & Development,Bachelor,Technical Degree,Female,Executive Level,Research Director,High,Married,No,Excellent,Better,,
34,No,Non-Travel,Sales,Master,Marketing,Male,Junior Level,Sales Executive,High,Single,No,Outstanding,Better,,
37,No,Travel_Rarely,Research & Development,College,Life Sciences,Male,Entry Level,Research Scientist,Medium,Married,No,Outstanding,Better,,
46,No,Travel_Frequently,Sales,Master,Marketing,Male,Junior Level,Sales Executive,Very High,Single,Yes,Outstanding,Better,,
35,No,Travel_Rarely,Research & Development,Below College,Life Sciences,Male,Entry Level,Laboratory Technician,Very High,Married,No,Excellent,Better,,
48,Yes,Travel_Rarely,Research & Development,College,Life Sciences,Male,Mid Level,Laboratory Technician,High,Single,Yes,Excellent,Better,,
28,Yes,Travel_Rarely,Research & Development,Master,Technical Degree,Male,Entry Level,Laboratory Technician,High,Single,Yes,Excellent,Good,,
44,No,Travel_Rarely,Sales,Doctor,Marketing,Female,Junior Level,Sales Executive,Low,Divorced,Yes,Outstanding,Good,,
35,No,Non-Travel,Research & Development,College,Medical,Male,Mid Level,Healthcare Representative,Low,Married,Yes,Excellent,Better,,
26,No,Travel_Rarely,Sales,Bachelor,Marketing,Female,Junior Level,Sales Executive,Very High,Married,Yes,Excellent,Good,,
33,No,Travel_Frequently,Research & Development,College,Life Sciences,Female,Mid Level,Research Director,Very High,Single,Yes,Excellent,Better,,
35,No,Travel_Frequently,Sales,Doctor,Life Sciences,Male,Mid Level,Sales Executive,Low,Married,No,Outstanding,Good,,
35,No,Travel_Rarely,Research & Development,Master,Medical,Female,Entry Level,Laboratory Technician,Low,Married,Yes,Excellent,Better,,
31,No,Travel_Rarely,Research & Development,Master,Life Sciences,Male,Junior Level,Laboratory Technician,Very High,Divorced,No,Outstanding,Good,,
37,No,Travel_Rarely,Research & Development,Master,Life Sciences,Male,Junior Level,Manufacturing Director,High,Divorced,No,Excellent,Best,,
32,No,Travel_Rarely,Research & Development,Bachelor,Medical,Male,Junior Level,Manufacturing Director,Very High,Married,Yes,Outstanding,Better,,
38,No,Travel_Frequently,Research & Development,Doctor,Life Sciences,Female,Junior Level,Laboratory Technician,Very High,Single,No,Excellent,Better,,
50,No,Travel_Rarely,Research & Development,College,Medical,Female,Executive Level,Research Director,High,Divorced,Yes,Excellent,Good,,
59,No,Travel_Rarely,Sales,Bachelor,Life Sciences,Female,Mid Level,Sales Executive,Low,Single,No,Excellent,Good,,
36,No,Travel_Rarely,Research & Development,Bachelor,Technical Degree,Female,Mid Level,Healthcare Representative,High,Divorced,No,Excellent,Better,,
55,No,Travel_Rarely,Research & Development,Bachelor,Medical,Female,Senior Level,Manager,High,Divorced,Yes,Excellent,Better,,
36,No,Travel_Frequently,Research & Development,Bachelor,Life Sciences,Male,Junior Level,Manufacturing Director,Medium,Single,No,Excellent,Better,,
45,No,Travel_Rarely,Research & Development,Bachelor,Life Sciences,Male,Mid Level,Research Scientist,Low,Divorced,No,Excellent,Better,,
35,No,Travel_Frequently,Research & Development,Bachelor,Medical,Male,Entry Level,Research Scientist,Low,Married,No,Excellent,Good,,
36,Yes,Travel_Rarely,Research & Development,Bachelor,Medical,Male,Entry Level,Research Scientist,High,Married,Yes,Excellent,Good,,
59,No,Travel_Frequently,Sales,Below College,Life Sciences,Female,Junior Level,Sales Executive,High,Single,No,Excellent,Good,,
29,No,Travel_Rarely,Research & Development,Bachelor,Life Sciences,Male,Entry Level,Research Scientist,Medium,Married,No,Outstanding,Better,,
31,No,Travel_Rarely,Research & Development,Master,Medical,Male,Entry Level,Research Scientist,Medium,Single,No,Excellent,Better,,
32,No,Travel_Rarely,Research & Development,Bachelor,Life Sciences,Male,Junior Level,Research Scientist,Medium,Married,No,Excellent,Better,,
36,No,Travel_Rarely,Research & Development,Bachelor,Life Sciences,Female,Entry Level,Laboratory Technician,Very High,Married,No,Excellent,Better,,
31,No,Travel_Rarely,Research & Development,Master,Life Sciences,Female,Junior Level,Manufacturing Director,Very High,Single,No,Outstanding,Better,,
35,No,Travel_Rarely,Sales,Master,Marketing,Male,Junior Level,Sales Executive,Low,Single,No,Excellent,Better,,
45,No,Travel_Rarely,Research & Development,Master,Other,Male,Mid Level,Research Director,Low,Married,Yes,Excellent,Best,,
37,No,Travel_Rarely,Research & Development,Master,Medical,Male,Mid Level,Research Director,High,Single,No,Excellent,Best,,
46,No,Travel_Rarely,Human Resources,College,Medical,Male,Junior Level,Human Resources,Medium,Divorced,Yes,Outstanding,Better,,
30,No,Travel_Rarely,Research & Development,Below College,Life Sciences,Male,Junior Level,Laboratory Technician,Very High,Married,Yes,Excellent,Good,,
35,No,Travel_Rarely,Research & Development,Bachelor,Medical,Male,Entry Level,Research Scientist,High,Single,No,Excellent,Better,,
55,No,Travel_Rarely,Sales,College,Life Sciences,Male,Mid Level,Sales Executive,Very High,Married,No,Excellent,Better,,
38,No,Non-Travel,Research & Development,Bachelor,Medical,Female,Junior Level,Research Scientist,Very High,Divorced,Yes,Excellent,Better,,
34,No,Travel_Rarely,Research & Development,College,Medical,Male,Junior Level,Manufacturing Director,Medium,Married,No,Excellent,Better,,
56,No,Travel_Rarely,Research & Development,Bachelor,Life Sciences,Male,Mid Level,Manufacturing Director,Very High,Single,No,Excellent,Good,,
23,No,Travel_Rarely,Sales,Below College,Technical Degree,Male,Entry Level,Sales Representative,Low,Divorced,No,Excellent,Better,,
51,No,Travel_Rarely,Research & Development,Master,Life Sciences,Male,Entry Level,Laboratory Technician,Very High,Married,No,Outstanding,Better,,
30,No,Travel_Rarely,Research & Development,Bachelor,Life Sciences,Male,Junior Level,Healthcare Representative,Very High,Married,No,Excellent,Better,,
46,Yes,Travel_Rarely,Sales,College,Medical,Male,Mid Level,Sales Executive,Very High,Single,No,Excellent,Better,,
40,No,Travel_Frequently,Research & Development,Master,Life Sciences,Male,Senior Level,Healthcare Representative,Medium,Married,No,Outstanding,Good,,
51,No,Travel_Rarely,Sales,Master,Marketing,Male,Junior Level,Sales Executive,Very High,Single,Yes,Outstanding,Bad,,
30,No,Travel_Rarely,Sales,College,Medical,Female,Junior Level,Sales Executive,Medium,Divorced,Yes,Excellent,Good,,
46,No,Travel_Frequently,Research & Development,Bachelor,Medical,Male,Mid Level,Healthcare Representative,Low,Married,Yes,Excellent,Good,,
32,No,Travel_Rarely,Sales,Master,Medical,Male,Junior Level,Sales Executive,High,Single,No,Excellent,Better,,
54,No,Travel_Rarely,Research & Development,Master,Technical Degree,Female,Mid Level,Research Director,High,Married,No,Excellent,Bad,,
24,No,Travel_Rarely,Sales,College,Other,Female,Junior Level,Sales Executive,High,Married,No,Outstanding,Good,,
28,No,Non-Travel,Sales,Bachelor,Medical,Male,Junior Level,Sales Executive,High,Married,No,Excellent,Best,,
58,No,Travel_Rarely,Sales,Master,Medical,Male,Senior Level,Sales Executive,High,Single,No,Excellent,Good,,
44,No,Non-Travel,Research & Development,Bachelor,Medical,Male,Junior Level,Laboratory Technician,Medium,Married,No,Excellent,Best,,
37,Yes,Travel_Rarely,Human Resources,Master,Human Resources,Male,Entry Level,Human Resources,Low,Divorced,Yes,Outstanding,Better,,
32,No,Travel_Rarely,Research & Development,Below College,Life Sciences,Male,Entry Level,Research Scientist,Low,Single,No,Excellent,Better,,
20,Yes,Travel_Frequently,Research & Development,Bachelor,Life Sciences,Female,Entry Level,Laboratory Technician,Very High,Single,Yes,Excellent,Better,,
34,No,Travel_Rarely,Research & Development,Master,Other,Female,Junior Level,Research Scientist,High,Single,No,Excellent,Better,,
37,No,Non-Travel,Research & Development,College,Life Sciences,Male,Junior Level,Healthcare Representative,Very High,Divorced,No,Excellent,Best,,
59,No,Non-Travel,Human Resources,Master,Human Resources,Female,Executive Level,Manager,Very High,Married,No,Outstanding,Better,,
50,No,Travel_Frequently,Research & Development,Bachelor,Life Sciences,Female,Executive Level,Research Director,Medium,Married,Yes,Excellent,Good,,
25,Yes,Travel_Rarely,Sales,Bachelor,Marketing,Male,Junior Level,Sales Executive,High,Single,Yes,Excellent,Better,,
25,No,Travel_Rarely,Research & Development,Below College,Medical,Male,Entry Level,Research Scientist,Very High,Married,No,Excellent,Better,,
22,No,Travel_Rarely,Research & Development,Bachelor,Medical,Female,Entry Level,Laboratory Technician,Very High,Single,No,Excellent,Better,,
51,No,Travel_Frequently,Research & Development,Master,Medical,Female,Mid Level,Healthcare Representative,Low,Single,No,Outstanding,Good,,
34,Yes,Travel_Frequently,Research & Development,Bachelor,Life Sciences,Male,Junior Level,Laboratory Technician,High,Single,Yes,Outstanding,Better,,
54,No,Non-Travel,Human Resources,Bachelor,Human Resources,Female,Senior Level,Manager,Very High,Single,Yes,Excellent,Better,,
24,No,Travel_Rarely,Research & Development,Below College,Life Sciences,Male,Entry Level,Laboratory Technician,High,Married,No,Excellent,Better,,
34,No,Travel_Rarely,Research & Development,Master,Life Sciences,Female,Junior Level,Research Scientist,Medium,Divorced,No,Excellent,Better,,
37,No,Travel_Rarely,Sales,Bachelor,Life Sciences,Male,Mid Level,Sales Executive,Very High,Single,No,Excellent,Better,,
34,No,Travel_Rarely,Research & Development,Bachelor,Medical,Female,Mid Level,Manager,Low,Single,No,Excellent,Better,,
36,No,Travel_Frequently,Sales,College,Technical Degree,Female,Mid Level,Sales Executive,Very High,Married,No,Excellent,Better,,
36,No,Travel_Rarely,Research & Development,College,Life Sciences,Female,Entry Level,Laboratory Technician,Very High,Divorced,No,Outstanding,Better,,
43,No,Travel_Frequently,Sales,College,Life Sciences,Male,Senior Level,Manager,Very High,Married,Yes,Excellent,Best,,
30,No,Travel_Frequently,Research & Development,Bachelor,Life Sciences,Male,Entry Level,Research Scientist,High,Divorced,No,Outstanding,Good,,
33,No,Non-Travel,Sales,College,Marketing,Male,Junior Level,Sales Executive,Medium,Married,No,Excellent,Best,,
56,Yes,Travel_Rarely,Research & Development,Master,Life Sciences,Female,Entry Level,Research Scientist,Medium,Married,Yes,Excellent,Better,,
51,No,Travel_Rarely,Research & Development,Bachelor,Life Sciences,Male,Executive Level,Research Director,High,Single,No,Excellent,Better,,
31,Yes,Travel_Rarely,Sales,Master,Life Sciences,Male,Junior Level,Sales Executive,High,Married,Yes,Excellent,Good,,
26,No,Travel_Rarely,Research & Development,Bachelor,Other,Female,Entry Level,Research Scientist,Medium,Married,No,Excellent,Good,,
58,Yes,Travel_Rarely,Research & Development,Master,Medical,Female,Mid Level,Healthcare Representative,Very High,Married,No,Excellent,Good,,
19,Yes,Travel_Rarely,Sales,Below College,Marketing,Male,Entry Level,Sales Representative,High,Single,Yes,Excellent,Good,,
22,No,Travel_Rarely,Research & Development,Below College,Technical Degree,Male,Entry Level,Laboratory Technician,Very High,Married,No,Excellent,Better,,
49,No,Travel_Rarely,Research & Development,Master,Medical,Female,Junior Level,Manufacturing Director,Low,Married,No,Excellent,Good,,
43,No,Travel_Frequently,Research & Development,Bachelor,Medical,Female,Entry Level,Research Scientist,High,Single,No,Excellent,Better,,
50,No,Travel_Frequently,Sales,Bachelor,Marketing,Female,Mid Level,Sales Executive,Very High,Single,No,Excellent,Better,,
31,Yes,Travel_Rarely,Sales,Bachelor,Life Sciences,Female,Junior Level,Sales Executive,High,Married,Yes,Excellent,Better,,
41,No,Travel_Rarely,Sales,Below College,Life Sciences,Male,Mid Level,Sales Executive,High,Divorced,Yes,Excellent,Better,,
26,No,Travel_Rarely,Human Resources,Below College,Life Sciences,Female,Entry Level,Human Resources,High,Married,No,Outstanding,Better,,
36,No,Travel_Rarely,Research & Development,College,Medical,Male,Junior Level,Manufacturing Director,Medium,Divorced,No,Outstanding,Better,,
51,Yes,Travel_Frequently,Research & Development,Master,Life Sciences,Male,Mid Level,Manufacturing Director,Very High,Single,No,Excellent,Better,,
39,No,Travel_Rarely,Sales,Master,Life Sciences,Female,Junior Level,Sales Executive,High,Married,No,Excellent,Best,,
25,No,Travel_Rarely,Sales,Bachelor,Life Sciences,Male,Junior Level,Sales Executive,High,Married,No,Excellent,Better,,
30,No,Travel_Rarely,Human Resources,Bachelor,Human Resources,Male,Junior Level,Human Resources,Very High,Married,Yes,Excellent,Bad,,
32,Yes,Travel_Rarely,Research & Development,Bachelor,Medical,Female,Entry Level,Laboratory Technician,Low,Single,No,Outstanding,Best,,
45,No,Travel_Rarely,Research & Development,Bachelor,Medical,Male,Entry Level,Research Scientist,Very High,Single,No,Excellent,Good,,
38,No,Travel_Rarely,Research & Development,Doctor,Technical Degree,Female,Junior Level,Research Scientist,High,Single,Yes,Outstanding,Better,,
30,No,Travel_Rarely,Research & Development,Bachelor,Life Sciences,Female,Entry Level,Research Scientist,High,Single,No,Excellent,Good,,
32,No,Travel_Frequently,Sales,College,Medical,Male,Junior Level,Sales Executive,Very High,Divorced,No,Excellent,Best,,
30,No,Travel_Rarely,Research & Development,Bachelor,Technical Degree,Female,Entry Level,Research Scientist,Low,Divorced,No,Excellent,Better,,
30,No,Travel_Rarely,Research & Development,Below College,Medical,Male,Entry Level,Laboratory Technician,Very High,Single,No,Excellent,Better,,
41,No,Travel_Frequently,Research & Development,Bachelor,Life Sciences,Male,Senior Level,Manager,Low,Divorced,No,Excellent,Good,,
41,No,Travel_Rarely,Research & Development,Master,Life Sciences,Male,Entry Level,Laboratory Technician,Low,Married,No,Outstanding,Better,,
19,No,Travel_Rarely,Research & Development,Below College,Medical,Female,Entry Level,Laboratory Technician,Medium,Single,No,Excellent,Better,,
40,No,Travel_Frequently,Research & Development,Bachelor,Medical,Female,Junior Level,Research Scientist,Medium,Divorced,No,Excellent,Better,,
35,No,Travel_Rarely,Sales,Doctor,Marketing,Male,Mid Level,Sales Executive,Medium,Married,No,Excellent,Better,,
53,No,Travel_Rarely,Sales,College,Marketing,Male,Junior Level,Sales Representative,High,Married,Yes,Outstanding,Bad,,
45,No,Travel_Rarely,Research & Development,Bachelor,Life Sciences,Male,Junior Level,Laboratory Technician,Medium,Divorced,No,Excellent,Bad,,
32,No,Travel_Frequently,Sales,Bachelor,Marketing,Female,Mid Level,Sales Executive,Very High,Single,No,Excellent,Better,,
29,No,Non-Travel,Research & Development,Below College,Technical Degree,Male,Junior Level,Manufacturing Director,High,Married,No,Excellent,Better,,
51,No,Travel_Rarely,Research & Development,Master,Medical,Male,Junior Level,Manufacturing Director,High,Married,No,Excellent,Better,,
58,No,Travel_Rarely,Research & Development,Bachelor,Medical,Female,Entry Level,Research Scientist,Medium,Married,Yes,Outstanding,Good,,
40,No,Travel_Rarely,Sales,Master,Marketing,Male,Mid Level,Sales Executive,Very High,Married,No,Excellent,Good,,
34,No,Travel_Frequently,Sales,Master,Marketing,Female,Entry Level,Sales Representative,High,Married,No,Excellent,Better,,
22,No,Travel_Rarely,Research & Development,Below College,Medical,Male,Entry Level,Research Scientist,Very High,Married,No,Outstanding,Better,,
27,No,Non-Travel,Research & Development,Bachelor,Medical,Male,Entry Level,Research Scientist,Medium,Divorced,No,Excellent,Bad,,
28,No,Travel_Rarely,Research & Development,Bachelor,Medical,Male,Entry Level,Research Scientist,Very High,Married,No,Excellent,Bad,,
57,No,Travel_Rarely,Research & Development,College,Life Sciences,Male,Mid Level,Healthcare Representative,Very High,Divorced,Yes,Excellent,Bad,,
27,No,Non-Travel,Research & Development,Bachelor,Medical,Male,Entry Level,Research Scientist,High,Divorced,Yes,Excellent,Good,,
50,No,Travel_Rarely,Research & Development,Bachelor,Life Sciences,Female,Executive Level,Manager,Medium,Single,No,Excellent,Better,,
41,No,Travel_Rarely,Research & Development,Bachelor,Life Sciences,Male,Entry Level,Research Scientist,High,Divorced,No,Excellent,Better,,
30,No,Travel_Rarely,Sales,Bachelor,Life Sciences,Female,Mid Level,Sales Executive,Very High,Married,No,Excellent,Better,,
38,No,Travel_Rarely,Sales,Master,Life Sciences,Female,Junior Level,Sales Executive,Very High,Single,No,Outstanding,Best,,
32,No,Travel_Rarely,Research & Development,Doctor,Life Sciences,Male,Entry Level,Research Scientist,High,Single,No,Outstanding,Better,,
27,No,Travel_Rarely,Research & Development,Bachelor,Technical Degree,Male,Entry Level,Research Scientist,Medium,Married,Yes,Excellent,Good,,
19,Yes,Travel_Frequently,Sales,Below College,Technical Degree,Female,Entry Level,Sales Representative,Low,Single,No,Outstanding,Best,,
36,No,Travel_Frequently,Research & Development,College,Medical,Male,Entry Level,Laboratory Technician,Medium,Single,No,Excellent,Good,,
30,No,Non-Travel,Research & Development,Bachelor,Medical,Male,Junior Level,Laboratory Technician,Low,Divorced,No,Excellent,Better,,
45,No,Travel_Rarely,Sales,College,Life Sciences,Female,Junior Level,Sales Executive,Low,Divorced,Yes,Excellent,Best,,
56,No,Travel_Rarely,Research & Development,Bachelor,Life Sciences,Female,Entry Level,Research Scientist,Low,Divorced,Yes,Excellent,Better,,
33,No,Travel_Rarely,Research & Development,Bachelor,Life Sciences,Male,Entry Level,Research Scientist,Very High,Single,No,Excellent,Best,,
19,Yes,Travel_Rarely,Research & Development,Bachelor,Life Sciences,Male,Entry Level,Laboratory Technician,Very High,Single,No,Outstanding,Good,,
46,No,Travel_Rarely,Sales,College,Marketing,Female,Mid Level,Sales Executive,Low,Divorced,No,Outstanding,Better,,
38,No,Travel_Rarely,Research & Development,College,Life Sciences,Female,Entry Level,Laboratory Technician,Very High,Single,No,Excellent,Better,,
31,No,Travel_Rarely,Research & Development,Below College,Medical,Female,Entry Level,Research Scientist,Very High,Married,Yes,Outstanding,Better,,
34,No,Travel_Rarely,Research & Development,College,Medical,Female,Entry Level,Research Scientist,Medium,Single,No,Excellent,Better,,
41,Yes,Travel_Rarely,Sales,College,Marketing,Female,Entry Level,Sales Representative,Medium,Single,Yes,Outstanding,Good,,
50,No,Travel_Rarely,Research & Development,Bachelor,Medical,Male,Entry Level,Laboratory Technician,High,Married,No,Excellent,Good,,
53,No,Travel_Rarely,Research & Development,College,Medical,Female,Junior Level,Manufacturing Director,Low,Divorced,No,Excellent,Better,,
33,No,Travel_Rarely,Research & Development,Bachelor,Medical,Female,Entry Level,Research Scientist,Medium,Married,No,Excellent,Better,,
40,No,Travel_Rarely,Research & Development,Below College,Medical,Female,Executive Level,Manager,High,Married,No,Excellent,Better,,
55,No,Travel_Rarely,Research & Development,Master,Medical,Male,Executive Level,Research Director,Medium,Single,No,Excellent,Better,,
34,No,Travel_Frequently,Research & Development,Below College,Life Sciences,Male,Junior Level,Manufacturing Director,High,Married,No,Excellent,Good,,
51,No,Travel_Rarely,Research & Development,Bachelor,Medical,Female,Senior Level,Healthcare Representative,Medium,Single,No,Excellent,Better,,
52,No,Travel_Rarely,Research & Development,Master,Life Sciences,Male,Executive Level,Manager,High,Married,No,Excellent,Better,,
27,No,Travel_Rarely,Research & Development,Bachelor,Medical,Female,Entry Level,Research Scientist,Medium,Single,No,Excellent,Good,,
35,Yes,Travel_Rarely,Research & Development,College,Life Sciences,Male,Junior Level,Manufacturing Director,High,Married,Yes,Excellent,Better,,
43,No,Non-Travel,Research & Development,Bachelor,Medical,Male,Entry Level,Research Scientist,Very High,Divorced,No,Excellent,Best,,
45,No,Non-Travel,Research & Development,College,Medical,Male,Senior Level,Manager,Very High,Married,No,Outstanding,Better,,
37,No,Travel_Rarely,Research & Development,Bachelor,Life Sciences,Male,Entry Level,Research Scientist,Low,Married,Yes,Excellent,Good,,
35,No,Travel_Frequently,Research & Development,Bachelor,Medical,Female,Junior Level,Laboratory Technician,Medium,Single,No,Excellent,Better,,
42,No,Non-Travel,Research & Development,College,Medical,Female,Junior Level,Manufacturing Director,High,Divorced,No,Excellent,Better,,
38,No,Travel_Rarely,Research & Development,Master,Life Sciences,Male,Junior Level,Manufacturing Director,High,Married,No,Excellent,Better,,
38,No,Travel_Rarely,Research & Development,Bachelor,Technical Degree,Male,Junior Level,Manufacturing Director,Very High,Married,No,Excellent,Bad,,
27,No,Travel_Frequently,Research & Development,Below College,Technical Degree,Male,Junior Level,Manufacturing Director,Low,Married,No,Excellent,Better,,
49,No,Non-Travel,Research & Development,Master,Life Sciences,Male,Junior Level,Manufacturing Director,Very High,Divorced,Yes,Excellent,Better,,
34,No,Travel_Frequently,Research & Development,Master,Medical,Male,Entry Level,Research Scientist,High,Divorced,Yes,Excellent,Best,,
40,No,Travel_Rarely,Research & Development,College,Medical,Male,Junior Level,Laboratory Technician,Very High,Married,Yes,Excellent,Best,,
38,Yes,Travel_Rarely,Research & Development,Below College,Medical,Male,Junior Level,Healthcare Representative,Low,Married,Yes,Excellent,Better,,
29,Yes,Travel_Rarely,Sales,Bachelor,Marketing,Female,Mid Level,Sales Executive,Very High,Married,No,Outstanding,Good,,
22,No,Travel_Rarely,Research & Development,Bachelor,Life Sciences,Male,Entry Level,Research Scientist,Medium,Divorced,Yes,Excellent,Good,,
36,No,Travel_Frequently,Research & Development,Below College,Medical,Female,Entry Level,Laboratory Technician,Very High,Single,No,Excellent,Better,,
40,No,Non-Travel,Research & Development,Doctor,Life Sciences,Male,Junior Level,Healthcare Representative,Very High,Married,No,Excellent,Bad,,
46,No,Travel_Rarely,Research & Development,Master,Medical,Male,Mid Level,Healthcare Representative,Low,Divorced,No,Excellent,Better,,
32,Yes,Travel_Rarely,Sales,Master,Medical,Male,Mid Level,Sales Executive,Very High,Married,No,Excellent,Good,,
30,No,Non-Travel,Research & Development,Below College,Life Sciences,Male,Mid Level,Manufacturing Director,High,Single,No,Outstanding,Better,,
27,No,Travel_Frequently,Sales,Bachelor,Life Sciences,Female,Junior Level,Sales Executive,High,Single,No,Excellent,Better,,
51,No,Travel_Rarely,Research & Development,Master,Life Sciences,Male,Mid Level,Research Director,Medium,Married,No,Excellent,Bad,,
